Site Name,County,Site No,Locality,Cluster,Zone,East,North,Landform,Water,Viewshed
AD-0027,Adams,AD-0027,Central Wisc,Petenwell,16,262043,4888298,Terrace,River,Unknown
Buffalo Mound,Adams,AD-0030,Central Wisc,Petenwell,15,739905,4884902,Terrace,River,Lake
Crooked Lake,Adams,AD-0041,Central Wisc,Lakes Cluster,16,289769,4849085,Terrace,Lake,Lake
Dead Horse Slough,Adams,AD-0005,Central Wisc,Isolate,16,272694,4886302,Terrace,Creek,Valley
Douglas Effigy,Adams,AD-0056,Central Wisc,Site Pair,16,271254,4849563,Terrace,River,Confluence
Fourth Drive North,Adams,AD-0197,Baraboo Range,Site Pair,16,284973,4837352,Hillslopes,Upland,Headwaters
Fourth Drive South,Adams,AD-0196,Baraboo Range,Site Pair,16,284607,4836882,Plateau,Upland,Headwaters
Frank McConick,Adams,AD-0001,Central Wisc,Isolate,16,277860,4873247,Terrace,Creek,Valley
Jordan Lake,Adams,AD-0045,Central Wisc,Lakes Cluster,16,286951,4846843,Lakeshore,Lake,Lake
Monroe Center #3,Adams,AD-0025,Central Wisc,Petenwell,16,264643,4887768,Terrace,River,Unknown
Monroe Center #4,Adams,AD-0025,Central Wisc,Petenwell,16,264053,4887452,Terrace,River,Unknown
Oxbow Bend,Adams,AD-0053,Central Wisc,Nekoosa,16,270233,4907984,Terrace,Creek,Confluence
Parker Lake,Adams,AD-0039,Central Wisc,Lakes Cluster,16,287916,4850608,Terrace,Lake,Lake
Point Bluff Effigy,Adams,AD-0057,Central Wisc,Site Pair,16,270863,4850398,Terrace,River,Confluence
Spring Creek,Adams,AD-0023,Central Wisc,Petenwell,16,262727,4889055,Terrace,River,Unknown
Strong's Prairie Central,Adams,AD-0061,Central Wisc,Petenwell,16,260193,4882647,Terrace,River,Unknown
Strong's Prairie North,Adams,AD-0062,Central Wisc,Petenwell,16,260193,4883475,Terrace,River,Unknown
Strong's Prairie South,Adams,AD-0065,Central Wisc,Petenwell,16,259950,4881411,Terrace,River,Unknown
Swartout Slough,Adams,AD-0020,Central Wisc,Petenwell,16,260606,4883831,Terrace,River,Spring
Swartout Springs,Adams,AD-0032,Central Wisc,Petenwell,16,260352,4884587,Terrace,River,Spring
Van Curen Lake,Adams,AD-0029,Central Wisc,Petenwell,16,260344,4886093,Terrace,River,Lake
Ward,Adams,AD-0059,Central Wisc,Petenwell,16,260246,4883044,Terrace,River,Unknown
Wolf Lake,Adams,AD-0104,Central Wisc,Lakes Cluster,16,288709,4852275,Terrace,Lake,Lake
Alexander,Allamakee,AM-0093,Harper's Ferry,Lansing,15,647322,4800125,Bluff Edge,River,Floodplain
AM-0070,Allamakee,AM-0070,Harper's Ferry,Lansing,15,647985,4799660,Toeslope,River,Confluence
AM-0075,Allamakee,AM-0075,Harper's Ferry,Site Pair,15,654737,4792646,Toeslope,River,Floodplain
AM-0076,Allamakee,AM-0076,Harper's Ferry,Harpers Ferry,15,652104,4787374,Terrace,River,Confluence
AM-0113,Allamakee,AM-0113,Prairie du Chien,EFMO,15,647680,4771366,Ridge Spur,River,Confluence
Brazell Mounds,Allamakee,AM-0081,Harper's Ferry,Harpers Ferry,15,649137,4783217,Terrace,River,Confluence
Capoli Bluff 1,Allamakee,AM-0202,Harper's Ferry,Site Pair,15,651734,4797835,Toeslope,River,Springs
Capoli Bluff 2,Allamakee,AM-0204,Harper's Ferry,Site Pair,15,651984,4797591,Unknown,Creek,Confluence
Ferguson 1,Allamakee,AM-0107,Prairie du Chien,EFMO,15,646449,4771936,Terrace,River,Lake
Harpers Ferry Central,Allamakee,AM-0077,Harper's Ferry,Harpers Ferry,15,,,Terrace,River,Confluence
Harpers Ferry North,Allamakee,AM-0079,Harper's Ferry,Harpers Ferry,15,,,Terrace,River,Confluence
Harpers Ferry North Central,Allamakee,AM-0079,Harper's Ferry,Harpers Ferry,15,,,Terrace,River,Confluence
Harpers Ferry South,Allamakee,AM-0080/AM-0109,Harper's Ferry,Harpers Ferry,15,651140,4785930,Terrace,River,Confluence
Harpers Ferry West,Allamakee,AM-0079,Harper's Ferry,Harpers Ferry,15,,,Terrace,River,Confluence
Heitmans Dam,Allamakee,AM-0074,Harper's Ferry,Site Pair,15,654799,4794185,Toeslope,River,Floodplain
Hemmenway,Allamakee,AM-0130,Harper's Ferry,Isolate,15,644207,4803099,Ridge Spur,Creek,Divide
Keller,Allamakee,AM-0069,Harper's Ferry,Lansing,15,648713,4799439,Terrace,River,Confluence
Klitt Farm,Allamakee,No OSA #,Harper's Ferry,Harpers Ferry,15,649710,4783865,Terrace,River,Confluence
Laird Farm Terrace,Allamakee,AM-0082,Prairie du Chien,EFMO,15,647608,4772030,Terrace,River,Confluence
Oil Springs Creek,Allamakee,No OSA #,Harper's Ferry,Harpers Ferry,15,651863,4788498,Terrace,River,Confluence
Red House Landing,Allamakee,AM-0101,Prairie du Chien,EFMO,15,647938,4773528,Ridge Spur,River,Floodplain
Reinhart,Allamakee,AM-0186,Prairie du Chien,EFMO,15,645125,4773143,Ridge Spur,River,Floodplain
Simonson's Farm Mounds,Allamakee,AM-0132,Unaffiliated,Site Pair,15,615375,4804294,Terrace,River,Floodplain
Voll Farm,Allamakee,AM-0123,Unaffiliated,Site Pair,15,616732,4806523,Terrace,River,Floodplain
Waukon Junction Mounds,Allamakee,AM-0087,Harper's Ferry,Isolate,15,647605,4779525,Ridge Spur,River,Springs
Wexford Creek,Allamakee,No OSA #,Harper's Ferry,Isolate,15,653917,4790807,Terrace,River,Confluence
Weymiller,Allamakee,AM-0042,Unaffiliated,Isolate,15,634949,4811130,Terrace,River,Floodplain
Wild Cat / Fire Pt,Allamakee,AM-0189,Prairie du Chien,EFMO,15,647975,4772818,Ridge,River,Floodplain
Deer Creek,Buffalo,BF-0054,Upper Miss,Isolate,15,581909,4916066,Terrace,River,Confluence
Fountain City I,Buffalo,BF-0222,Trempealeau,Site Pair,15,603514,4886154,Terrace,River,Confluence
Fountain City II,Buffalo,BF-0221,Trempealeau,Site Pair,15,603096,4886369,Terrace,River,Floodplain
Hunger Bear,Buffalo,BF-0116,Trempealeau,Isolate,15,610778,4890324,Terrace,River,Confluence
Bartz,Calumet,CT-0017,Niagara,Site Pair,16,416311,4880692,Terrace,River,Confluence
Bear,Calumet,CT-0121,Niagara,Lake Winnebago,16,396140,4882793,Hill Slope,Creek,Valley
Calumet Co. Park,Calumet,CT-0023,Niagara,Lake Winnebago,16,394342,4884506,Bluff Edge,Lake,Lake
CT-0049,Calumet,CT-0049,Niagara,Lake Winnebago,16,394320,4871581,Toeslope,Lake,Lake
High Cliff,Calumet,CT-0001,Niagara,Lake Winnebago,16,396598,4890062,Bluff Edge,Lake,Spring
Quinney Panther,Calumet,CT-0060,Niagara,Lake Winnebago,16,395282,4874044,Toeslope,Lake,Spring
Ridge,Calumet,CT-0007,Niagara,Lake Winnebago,16,395665,4872209,Bluff Edge,Lake,Spring
School House,Calumet,CT-0004,Niagara,Lake Winnebago,16,395910,4878480,Toeslope,Lake,Floodplain
Spar Creek,Calumet,CT-0022,Niagara,Lake Winnebago,16,395569,4874330,Bluff Edge,Lake,Spring
Stockbridge,Calumet,CT-0025,Niagara,Lake Winnebago,16,394285,4882364,Bluff Edge,Lake,Lake
Zahn,Calumet,CT-0018,Niagara,Site Pair,16,415968,4880742,Terrace,River,Confluence
Tako's Site/Lake Walk,Chippewa,CH-0100,Isolate,Outlier,15,633742,4980729,Bluff Edge,River,Confluence
Cahoon 1,Clayton,CT-0021,Prairie du Chien,EFMO,15,648263,4767903,Bluff Edge,River,Floodplain
CT-0006,Clayton,CT-0006,Turkey River,Middle Turkey,15,640772,4736342,Terrace,River,Valley
CT-0007,Clayton,CT-0007,Turkey River,Middle Turkey,15,643883,4734963,Ridge,River,Divide
CT-0008,Clayton,CT-0008,Turkey River,Middle Turkey,15,645569,4735579,Ridge Spur,River,Valley
CT-0009,Clayton,CT-0009,Turkey River,Turkey River,15,658147,4731028,Ridge Spur,River,Confluence
CT-0014,Clayton,CT-0014,Turkey River,Turkey River,15,662357,4728046,Toeslope,Creek,Headwaters
CT-0015,Clayton,CT-0015,Turkey River,Turkey River,15,658381,4728673,Ridge Spur,River,Confluence
CT-0016,Clayton,CT-0016,Turkey River,Turkey River,15,658289,4729023,Ridge Spur,River,Confluence
CT-0017,Clayton,CT-0017,Turkey River,Turkey River,15,658662,4729838,Ridge Spur,River,Confluence
Harveys Island I,Clayton,CT-0045,Turkey River,Isolate,15,655313,4742446,Island,River,Confluence
Jennings-Liebhart Mound,Clayton,CT-0026,Prairie du Chien,EFMO,15,647728,4769831,Ridge,River,Floodplain
Laurence Adams 1,Clayton,CT-0068,Turkey River,Turkey River,15,662968,4727011,Hilltop,River,Headwaters
Marquette-Yellow 9,Clayton,CT-0055,Prairie du Chien,Pikes Peak,15,648010,4770996,Ridge Spur,River,Floodplain
Matt Adams,Clayton,CT-0012,Turkey River,Turkey River,15,662447,4728935,Ridge Spur,Creek,Valley
McGregor Pikes Peak 5,Clayton,CT-0063,Prairie du Chien,Pikes Peak,15,649082,4763058,Ridge Spur,River,Confluence
McGregor-Pikes Peak 1,Clayton,CT-0059,Prairie du Chien,Pikes Peak,15,648951,4764488,Bluff Edge,River,Confluence
McGregor-Pikes Peak 4,Clayton,CT-0062,Prairie du Chien,Pikes Peak,15,649046,4763406,Ridge Spur,River,Confluence
McGregor-Pikes Peak 7,Clayton,CT-0065,Prairie du Chien,Pikes Peak,15,649734,4761752,Bluff Edge,River,Spring
Mississippi River Mounds,Clayton,CT-0235,Turkey River,Turkey River,15,664725,4728121,Bluff Edge,River,Floodplain
Pete Adams 1,Clayton,CT-0005,Turkey River,Turkey River,15,663848,4728472,Ridge Spur,River,Confluence
Pete Adams 2,Clayton,CT-0001,Turkey River,Turkey River,15,663189,4728878,Ridge Spur,River,Confluence
Pete Adams 3,Clayton,CT-0002,Turkey River,Turkey River,15,662732,4729189,Ridge Spur,River,Confluence
Pete Adams 4,Clayton,CT-0003,Turkey River,Turkey River,15,662202,4729329,Ridge,River,Confluence
Pritchard I,Clayton,CT-0179,Turkey River,Middle Turkey,15,645494,4732920,Toeslope,River,Floodplain
Sny Magill,Clayton,CT-0018,Prairie du Chien,Isolate,15,649461,4755688,Terrace,River,Confluence
Turkey River,Clayton,CT-0003,Turkey River,Turkey River,15,659936,4731209,Ridge Spur,River,Confluence
Turkey River Valley,Clayton,CT-0004,Turkey River,Turkey River,15,661495,4729444,Ridge Spur,River,Confluence
Wachendorf,Clayton,CT-0013,Turkey River,Turkey River,15,663208,4727807,Hilltop,River,Headwaters
Anacker,Columbia,CO-0021,Unaffiliated,Isolate,16,302927,4832693,Terrace,River,Marsh
Bennett,Columbia,CO-0059,Baraboo Range,Lower Dells,16,281173,4831013,Terrace,Creek,Valley
Black Hawk Ridge,Columbia,CO-0329,Baraboo Range,Merrimac,16,281260,4799686,Terrace,River,Floodplain
CO-0038,Columbia,CO-0038,Baraboo Range,Merrimac,16,290604,4803261,Terrace,River,Valley
CO-0041,Columbia,CO-0041,Baraboo Range,Merrimac,16,290946,4801169,Toeslope,Lake,Lake
CO-0062,Columbia,CO-0062,Baraboo Range,Lower Dells,16,280810,4830425,Terrace,River,Confluence
CO-0064,Columbia,CO-0064,Unaffiliated,Isolate,16,307227,4823725,Terrace,Lake,Marsh
CO-0078,Columbia,CO-0078,Baraboo Range,Merrimac,16,290202,4803905,Terrace,River,Valley
Crossing,Columbia,CO-0061,Baraboo Range,Lower Dells,16,280728,4830817,Terrace,River,Confluence
Crystal Lake,Columbia,CO-0082,Baraboo Range,Merrimac,16,287085,4796781,Hill Slopes,Lake,Lake
Dead Bird,Columbia,CO-0256,Unaffiliated,Isolate,16,315409,4819648,Terrace,River,Valley
Gale,Columbia,CO-0060,Baraboo Range,Lower Dells,16,281036,4830788,Terrace,Creek,Valley
Kilbourn City,Columbia,CO-0053,Baraboo Range,Isolate,16,276152,4834098,Terrace,River,Valley
Kittleson Pond,Columbia,CO-0055,Baraboo Range,Isolate,16,282691,4834838,Terrace,Lake,Lake
Lake Wisconsin,Columbia,CO-0237,Baraboo Range,Merrimac,16,289569,4806569,Terrace,River,Floodplain
Murray II,Columbia,CO-0179,Unaffiliated,Isolate,16,303948,4818118,Terrace,River,Floodplain
One Mound,Columbia,CO-0233,Baraboo Range,Merrimac,16,288489,4796683,Terrace,Lake,Lake
Verbeck Conical,Columbia,CO-0085,Baraboo Range,Merrimac,16,284502,4798274,Toeslope,Lake,Lake
Armstrong,Crawford,CR-0042,Harper's Ferry,Dividing Ridge,15,657754,4789620,Terrace,River,Confluence
Bear Creek,Crawford,CR-0384,Kickapoo,Kickapoo Forks,15,677476,4802190,Terrace,River,Confluence
Beckett #5,Crawford,CR-0196,Harper's Ferry,Pickatee Coulee,15,651973,4779903,Ridge,Upland,Valley
Blackhawk Mounds,Crawford,CR-0671,Kickapoo,Middle Kickapoo,15,673028,4790864,Unknown,River,Valley
Bridgeport,Crawford,CR-0380,Prairie du Chien,Prairie du Chien,15,658185,4763191,Unknown,River,Floodplain
Bryan,Crawford,CR-0048,Eagle Township,Isolate,15,683540,4778439,Terrace,River,Confluence
Calvary Cemetery,Crawford,CR-0053,Prairie du Chien,Campbell Coulee,15,650847,4770297,Terrace,River,Floodplain
Camel Mound,Crawford,CR-0658,Prairie du Chien,Campbell Coulee,15,651742,4770734,Terrace,River,Confluence
Campbell Coulee I,Crawford,CR-0059,Prairie du Chien,Campbell Coulee,15,652538,4770666,Toeslope,Creek,Valley
Campbell Coulee II,Crawford,CR-0155,Prairie du Chien,Campbell Coulee,15,653141,4770703,Terrace,Creek,Valley
Caya,Crawford,CR-0396,Harper's Ferry,Dividing Ridge,15,654765,4785671,Ridge Spur,River,Confluence
Christianson I,Crawford,CR-0076,Unaffiliated,Wauzeka,15,676429,4773596,Terrace,River,Floodplain
Cipra,Crawford,CR-0072,Prairie du Chien,Isolate,15,663871,4766791,Terrace,River,Floodplain
Citron Valley,Crawford,CR-0388,Kickapoo,Citron Valley,15,673401,4785357,Terrace,Creek,Valley
Copper Creek II,Crawford,CR-0244,Unaffiliated,Isolate,15,657706,4797467,Terrace,River,Confluence
CR-0021,Crawford,CR-0021,Harper's Ferry,Dividing Ridge,15,659653,4781201,Ridge,Upland,Divide
CR-0026,Crawford,CR-0026,Harper's Ferry,Pickatee Coulee,15,652255,4779245,Ridge Spur,Upland,Divide
CR-0027,Crawford,CR-0027,Harper's Ferry,Dividing Ridge,15,661380,4779683,Ridge,Upland,Headwaters
CR-0028,Crawford,CR-0028,Harper's Ferry,Pickatee Coulee,15,654866,4779666,Ridge,Upland,Divide
CR-0030,Crawford,CR-0030,Harper's Ferry,Dividing Ridge,15,660347,4780006,Ridge,Upland,Divide
CR-0150,Crawford,CR-0150,Harper's Ferry,Pickatee Coulee,15,655394,4779556,Ridge,Upland,Divide
CR-0161,Crawford,CR-0161,Prairie du Chien,Prairie du Chien,15,654206,4763215,Unknown,River,Floodplain
CR-0379,Crawford,CR-0379,Prairie du Chien,Prairie du Chien,15,655745,4762863,Ridge Spur,River,Floodplain
CR-0382,Crawford,CR-0382,Prairie du Chien,Prairie du Chien,15,657333,4762540,Unknown,River,Floodplain
CR-0383,Crawford,CR-0383,Kickapoo,Kickapoo Forks,15,677498,4803784,Terrace,River,Floodplain
CR-0386,Crawford,CR-0386,Kickapoo,Upper Kickapoo,15,680797,4808283,Terrace,River,Confluence
CR-0389,Crawford,CR-0389,Kickapoo,Citron Valley,15,671293,4782875,Terrace,Creek,Valley
CR-0391,Crawford,CR-0391,Harper's Ferry,Dividing Ridge,15,659714,4777076,Ridge,Upland,Divide
CR-0394,Crawford,CR-0394,Harper's Ferry,Dividing Ridge,15,659563,4789518,Ridge Spur,River,Valley
CR-0395,Crawford,CR-0395,Harper's Ferry,Dividing Ridge,15,659000,4786112,Ridge Spur,Creek,Valley
CR-0397,Crawford,CR-0397,Kickapoo,Kickapoo Forks,15,675860,4802652,Terrace,River,Valley
CR-0398,Crawford,CR-0398,Kickapoo,Kickapoo Forks,15,676207,4802668,Terrace,River,Valley
Dahmen I,Crawford,CR-0014,Prairie du Chien,Prairie du Chien,15,654225,4763230,Ridge Spur,River,Floodplain
Dividing Ridge/Hazen Corners,Crawford,CR-0031/0036,Harper's Ferry,Dividing Ridge,15,659487,4776532,Ridge,Upland,Divide
Dremsa,Crawford,CR-0179,Eagle Township,Site Pair,15,686243,4782131,Terrace,River,Confluence
Fairground,Crawford,CR-0661,Kickapoo,Middle Kickapoo,15,674916,4797186,Terrace,River,Valley
Famechon Ridge,Crawford,CR-0034,Harper's Ferry,Dividing Ridge,15,658298,4775763,Ridge,Upland,Divide
Fischer I,Crawford,CR-0012,Harper's Ferry,Seneca,15,658982,4793422,Ridge,River,Confluence
Foley I,Crawford,CR-0043,Harper's Ferry,Dividing Ridge,15,658037,4786822,Ridge Spur,Upland,Headwaters
Foot of the Hill,Crawford,CR-0673,Kickapoo,Upper Kickapoo,15,678961,4806545,Terrace,River,Floodplain
Gays Mills,Crawford,CR-0017,Kickapoo,Middle Kickapoo,15,674252,4797967,Terrace,River,Valley
Gravel Pit I,Crawford,CR-0378,Prairie du Chien,Prairie du Chien,15,654088,4763432,Ridge Spur,River,Floodplain
Gravel Pit II,Crawford,CR-0680,Prairie du Chien,Prairie du Chien,15,653364,4763512,Terrace,River,Floodplain
Hogback I,Crawford,CR-0668,Kickapoo,Citron Valley,15,673325,4784962,Terrace,Creek,Valley
Hogback II,Crawford,CR-0669,Kickapoo,Citron Valley,15,673351,4784239,Terrace,Creek,Valley
Hogback III,Crawford,CR-0670,Kickapoo,Citron Valley,15,673347,4783812,Terrace,River,Valley
Kickapoo River Road,Crawford,CR-0677,Kickapoo,Middle Kickapoo,15,675157,4795511,Terrace,River,Valley
Knoble,Crawford,CR-0399,Kickapoo,Kickapoo Forks,15,675300,4801611,Terrace,River,Floodplain
Knower,Crawford,CR-0544,Bad Axe,Rush Creek,15,654111,4806365,Terrace,River,Confluence
Lennon Ridge,Crawford,CR-0663,Unaffiliated,Isolate,15,670487,4807213,Ridge,Upland,Valley
Limery Coulee II,Crawford,CR-0078,Prairie du Chien,Campbell Coulee,15,651544,4771765,Terrace,River,Confluence
Metz,Crawford,CR-0162,Unaffiliated,Isolate,15,658231,4800775,Ridge,River,Confluence
Petersburg,Crawford,CR-0676,Kickapoo,Middle Kickapoo,15,675411,4793352,Unknown,River,Valley
Pickatee Coulee I,Crawford,CR-0035,Harper's Ferry,Pickatee Coulee,15,651055,4777965,Terrace,River,Confluence
Pomerening I,Crawford,CR-0067,Unaffiliated,Wauzeka,15,675904,4773410,Terrace,River,Floodplain
Prairie du Chien,Crawford,CR-0401,Prairie du Chien,Prairie du Chien,15,653136,4767153,Ridge Spur,River,Floodplain
PSA,Crawford,CR-0672,Kickapoo,Upper Kickapoo,15,677973,4805999,Terrace,River,Floodplain
Richland Creek,Crawford,CR-0393,Eagle Township,Site Pair,15,686159,4781964,Terrace,River,Confluence
Roosa,Crawford,CR-0439,Unaffiliated,Isolate,15,660092,4804287,Toeslope,River,Confluence
Roy Peterson,Crawford,CR-0199,Harper's Ferry,Dividing Ridge,15,656300,4787393,Terrace,River,Confluence
Rush Creek Effigy,Crawford,CR-0431,Bad Axe,Rush Creek,15,649905,4804199,Ridge Spur,River,Valley
Rush Creek I,Crawford,CR-0377,Bad Axe,Rush Creek,15,650170,4803788,Terrace,River,Confluence
Rush Creek II,Crawford,CR-0392,Bad Axe,Rush Creek,15,650954,4804724,Terrace,River,Floodplain
Sand Creek,Crawford,CR-0675,Kickapoo,Middle Kickapoo,15,675171,4794365,Unknown,River,Valley
Sand Hill Road Spring,Crawford,CR-0674,Kickapoo,Middle Kickapoo,15,675144,4795110,Unknown,River,Spring
Selch I,Crawford,CR-0061,Prairie du Chien,Prairie du Chien,15,654103,4764914,Terrace,River,Floodplain
Sherry I,Crawford,CR-0071,Kickapoo,Upper Kickapoo,15,678647,4806300,Ridge,River,Floodplain
Slough,Crawford,CR-0381,Prairie du Chien,Prairie du Chien,15,660083,4763496,Terrace,River,Floodplain
Smith Hollow,Crawford,CR-0385,Kickapoo,Kickapoo Forks,15,677404,4803182,Terrace,River,Confluence
Smith II,Crawford,CR-0402,Harper's Ferry,Seneca,15,659235,4792698,Terrace,Creek,Valley
Soaring Buzzard,Crawford,CR-0628,Harper's Ferry,Pickatee Coulee,15,651728,4780620,Ridge Spur,River,Confluence
Soldier's Grove,Crawford,CR-0387,Kickapoo,Upper Kickapoo,15,680934,4807552,Terrace,River,Floodplain
Straight Line,Crawford,CR-0662,Kickapoo,Kickapoo Forks,15,675046,4802032,Terrace,River,Valley
Straka,Crawford,CR-0073,Unaffiliated,Isolate,15,671974,4776591,Ridge Spur,River,Valley
Sully,Crawford,CR-0629,Harper's Ferry,Seneca,15,658948,4793073,Terrace,Creek,Valley
Swatek Ridge,Crawford,CR-0019,Harper's Ferry,Dividing Ridge,15,661169,4784546,Ridge,Upland,Spring
Varo,Crawford,CR-0139,Harper's Ferry,Dividing Ridge,15,654026,4784857,Ridge Spur,River,Floodplain
Vilas/Flucke,Crawford,CR-0008,Prairie du Chien,Prairie du Chien,15,652015,4763895,Terrace,River,Floodplain
Wall Ridge,Crawford,CR-0390,Harper's Ferry,Dividing Ridge,15,657237,4783465,Ridge,Upland,Divide
Wallin I,Crawford,CR-0133,Harper's Ferry,Dividing Ridge,15,657869,4789265,Ridge Spur,River,Confluence
Wall-Smethurst,Crawford,CR-0140,Harper's Ferry,Dividing Ridge,15,653733,4784510,Ridge Spur,River,Floodplain
Wauzeka Ridge I,Crawford,CR-0664,Unaffiliated,Wauzeka,15,673690,4779185,Unknown,River,Floodplain
Wauzeka Ridge II,Crawford,CR-0665,Unaffiliated,Wauzeka,15,673263,4773213,Unknown,River,Floodplain
Wauzeka Terrace East,Crawford,CR-0666,Unaffiliated,Wauzeka,15,673441,4772613,Terrace,River,Floodplain
Wauzeka Terrace West,Crawford,CR-0667,Unaffiliated,Wauzeka,15,671140,4771813,Terrace,River,Floodplain
X-131,Crawford,CR-0486,Kickapoo,Kickapoo Forks,15,677531,4802566,Terrace,River,Confluence
Zinkle I,Crawford,CR-0148,Harper's Ferry,Pickatee Coulee,15,653089,4777769,Terrace,Creek,Confluence
Adams Street Bear,Dane,DA-1189,Four Lakes,Four Lakes,16,303319,4770509,Ridge Spur,Lake,Lake
Arboretum Woods,Dane,DA-0152,Four Lakes,Four Lakes,16,302403,4768601,Terrace,Lake,Spring
Ballweg,Dane,DA-0929,Baraboo Range,Sauk Prairie,16,281471,4794572,Hill Slope,River,Floodplain
Barber,Dane,DA-0106,Four Lakes,Colladay Point,16,313757,4758646,Ridge Spur,Lake,Lake
Baskerville Park,Dane,DA-0116,Four Lakes,Four Lakes,16,298369,4775463,Terrace,Lake,Lake
Bird,Dane,DA-0480,Four Lakes,Four Lakes,16,312052,4763314,Terrace,River,Lake
Black Earth,Dane,DA-0009,Unaffiliated,Isolate,16,276412,4779373,Terrace,Creek,Valley
Blackhawk Country Club,Dane,DA-0131,Four Lakes,Four Lakes,16,299614,4772371,Hill Slope,Lake,Lake
Blue Mounds,Dane,DA-0903,Four Lakes,Isolate,16,269785,4766122,Toe Slope,Creek,Spring
Bridge Road,Dane,DA-1194,Four Lakes,Four Lakes,16,310148,4769013,Terrace,Lake,Confluence
Bryant,Dane,DA-0040,Four Lakes,Four Lakes,16,308276,4766388,Hill Slope,River,Valley
Burrow's Park Bird,Dane,DA-0139,Four Lakes,Four Lakes,16,307283,4774673,Terrace,Lake,Lake
C. M. Colladay #1,Dane,DA-0105,Four Lakes,Colladay Point,16,313782,4759402,Terrace,Lake,Lake
Camp Leonard,Dane,DA-0076?,Four Lakes,Four Lakes,16,311743,4763724,Terrace,Lake,Confluence
Capitol Park,Dane,DA-0177,Four Lakes,Four Lakes,16,305967,4771800,Hill Slope,Lake,Lake
Colladay Point,Dane,DA-0568,Four Lakes,Colladay Point,16,314374,4759015,Drumlin,Lake,Lake
Crystal Lake NE,Dane,DA-0902,Baraboo Range,Merrimac,16,288855,4796244,Hill top,Lake,Lake
DA-0026,Dane,DA-0026,Four Lakes,Four Lakes,16,310573,4769093,Terrace,River,Confluence
DA-0054,Dane,DA-0054,Four Lakes,Four Lakes,16,307841,4774757,Terrace,Lake,Lake
DA-0058,Dane,DA-0058,Four Lakes,Four Lakes,16,311697,4777341,Unknown,Upland,Valley
DA-0111,Dane,DA-0111,Four Lakes,Four Lakes,16,307110,4766641,Hill Slope,River,Valley
DA-0138,Dane,DA-0138,Four Lakes,Four Lakes,16,303096,4770286,Terrace,Lake,Lake
DA-0143,Dane,DA-0143,Four Lakes,Four Lakes,16,305241,4769489,Ridge Spur,Lake,Lake
DA-0205,Dane,DA-0205,Unaffiliated,Site Pair,16,330463,4786220,Hill Slope,River,Confluence
DA-0233,Dane,DA-0233,Four Lakes,Pine Bluff,16,283744,4768817,Toe Slope,Creek,Headwaters
DA-0235,Dane,DA-0235,Four Lakes,Pine Bluff,16,281284,4767205,Ridge Crest,River,Headwaters
DA-0246,Dane,DA-0246,Four Lakes,Isolate,16,293921,4772829,Unknown,Creek,Headwaters
DA-0559,Dane,DA-0559,Four Lakes,Four Lakes,16,312821,4774684,Hill Slope,Upland,Headwaters
DA-0564,Dane,DA-0564,Four Lakes,Four Lakes,16,307911,4776174,Hill Slope,Upland,Valley
DA-0580,Dane,DA-0580,Four Lakes,Four Lakes,16,305860,4778330,Terrace,Upland,Valley
DA-0843,Dane,DA-0843,Four Lakes,Four Lakes,16,310302,4765634,Hill Slope,Lake,Lake
Dale (or Evan-Nelson),Dane,DA-0079,Four Lakes,Four Lakes,16,312801,4765017,Hill Slope,Lake,Lake
Deansville,Dane,DA-0306,Unaffiliated,Site Pair,16,329686,4782350,Hill Slope,River,Valley
Dividing Ridge,Dane,DA-0145,Four Lakes,Four Lakes,16,304537,4769647,Ridge Top,Lake,Divide
East Bank,Dane,DA-0230,Baraboo Range,Sauk Prairie,16,279823,4794167,Terrace,River,Floodplain
Edgewood,Dane,DA-0147,Four Lakes,Four Lakes,16,302741,4769752,Terrace,Lake,Spring
Edward's Park,Dane,DA-0044,Four Lakes,Four Lakes,16,312178,4765796,Terrace,Lake,Lake
Eighmy,Dane,DA-0145,Four Lakes,Four Lakes,16,313367,4765648,Hill Slope,Lake,Lake
Elmside Park,Dane,DA-0560,Four Lakes,Four Lakes,16,309575,4773350,Terrace,Lake,Confluence
Evans,Dane,DA-0101,Four Lakes,Four Lakes,16,311602,4761262,Terrace Spur,Marsh,Confluence
Fairhaven,Dane,DA-0025,Four Lakes,Four Lakes,16,309784,4769655,Terrace,Lake,Confluence
Farwell's Point,Dane,DA-0255,Four Lakes,Four Lakes,16,304317,4778014,Bluff Edge,Lake,Lake
Fitzgibbon,Dane,DA-0248,Four Lakes,Four Lakes,16,300437,4780134,Hill Slope,River,Valley
Forest Hill Cemetery,Dane,DA-0134,Four Lakes,Four Lakes,16,302064,4770204,Ridge Spur,Lake,Lake
Fox's Bluff,Dane,DA-0114,Four Lakes,Four Lakes,16,300368,4775795,Bluff Edge,Lake,Lake
Frost Woods,Dane,DA-0001,Four Lakes,Four Lakes,16,309845,4769209,Hill Slope,Lake,Confluence
Fuller Woods,Dane,DA-0118,Four Lakes,Four Lakes,16,307238,4774322,Terrace,Lake,Lake
Gallistel Woods,Dane,DA-0152,Four Lakes,Four Lakes,16,302627,4768446,Terrace,Marsh,Spring
Gilman,Dane,DA-0042,Four Lakes,Four Lakes,16,308447,4765962,Hill Slope,River,Valley
Glenway,Dane,DA-1191,Four Lakes,Four Lakes,16,301575,4770020,Ridge Spur,Lake,Lake
