Site Name,County,Site No,Locality,Cluster,Zone,East,North,Landform,Water,Viewshed
Brudos,Vernon,VE-0884,Bad Axe,South Bad Axe,15,655948,4819201,Toeslope,River,Valley
Cade I,Vernon,VE-0642,Bad Axe,North Bad Axe,15,658646,4828272,Toeslope,River,Valley
Cade II,Vernon,VE-0629,Bad Axe,North Bad Axe,15,658611,4828462,Toeslope,River,Valley
Fisher,Vernon,VE-0825,Unaffiliated,Isolate,15,643092,4834819,Terrace,River,Floodplain
Fleck/McDonald,Vernon,VE-0002,Unaffiliated,Isolate,15,644088,4820455,Terrace,River,Confluence
Frohock Bird,Vernon,VE-1034,Bad Axe,South Bad Axe,15,655544,4818229,Toeslope,River,Valley
Halverson,Vernon,VE-0885,Bad Axe,South Bad Axe,15,658050,4821200,Hill Slope,River,Valley
Heike,Vernon,VE-0023,Bad Axe,Red Mound,15,648740,4815332,Ridge Spur,Upland,Headwaters
Horse,Vernon,VE-1288,Bad Axe,Red Mound,15,646255,4811146,Unknown,Creek,Valley
Johnson,Vernon,VE-0904,Bad Axe,South Bad Axe,15,658251,4820273,Toeslope,River,Valley
Kuehne,Vernon,VE-0007,Bad Axe,Isolate,15,648970,4821411,Island,Marsh,Confluence
L. Smith,Vernon,VE-0891,Kickapoo,Viola,15,687496,4818046,Terrace,River,Floodplain
Larson,Vernon,VE-0882,Kickapoo,Isolate,15,681898,4812069,Toeslope,River,Floodplain
Lerendoski I,Vernon,VE-0883,Bad Axe,Red Mound,15,647524,4817415,Ridge Spur,Upland,Valley
Lerendoski II,Vernon,VE-0968,Bad Axe,Red Mound,15,647641,4817261,Ridge Spur,Upland,Valley
M. Johnson,Vernon,VE-0855,Bad Axe,Red Mound,15,644512,4814234,Toeslope,River,Floodplain
Nigh,Vernon,VE-0886,Bad Axe,South Bad Axe,15,658161,4818229,Toeslope,River,Floodplain
Oksnaved,Vernon,VE-0880,Bad Axe,South Bad Axe,15,657198,4819584,Toeslope,River,Valley
Olson I and II,Vernon,VE-0910/911,Bad Axe,South Bad Axe,15,656328,4819083,Toeslope,Creek,Valley
Phillips,Vernon,VE-0887,Bad Axe,Battle Island,15,644401,4818805,Toeslope,River,Floodplain
Retreat Bird,Vernon,VE-1035,Bad Axe,Isolate,15,656055,4812344,Ridge Spur,Upland,Divide
Strang,Vernon,VE-0888,Bad Axe,Red Mound,15,645811,4811760,Ridgeline,River,Floodplain
Tollach,Vernon,VE-0918,Bad Axe,Red Mound,15,645106,4816192,Terrace,Creek,Valley
Tollackson I,Vernon,VE-0927,Bad Axe,North Bad Axe,15,654804,4827136,Toeslope,River,Valley
Tollackson III,Vernon,VE-0919,Bad Axe,North Bad Axe,15,654344,4826744,Terrace,River,Valley
VE-0015,Vernon,VE-0015,Kickapoo,Viola,15,687442,4819189,Floodplain,River,Floodplain
VE-0020,Vernon,VE-0020,Bad Axe,Red Mound,15,646167,4815924,Unknown,Upland,Unknown
VE-0021,Vernon,VE-0021,Bad Axe,Red Mound,15,650090,4814177,Ridge Spur,Upland,Headwaters
VE-0022,Vernon,VE-0022,Bad Axe,Red Mound,15,646285,4814122,Toeslope,Creek,Valley
VE-0024,Vernon,VE-0024,Bad Axe,Red Mound,15,649646,4814996,Ridgeline,Upland,Divide
Viola Bluff,Vernon,VE-1286,Kickapoo,Viola,15,688042,4819118,Bluff Spur,River,Floodplain
West Fork,Vernon,VE-1287,Kickapoo,Isolate,15,683989,4817711,Unknown,River,Floodplain
Hill Group,Wabasha,WB-0027,Upper Miss,Site Pair,15,569864,4910150,Terrace,River,Floodplain
Zumbro Valley,Wabasha,WB-0023,Upper Miss,Site Pair,15,572572,4908657,Terrace,River,Floodplain
Baker Bird,Walworth,WL-0029,SE Wisc,Isolate,16,374757,4715741,Ridgetop,Lake,Divide
Inlet,Walworth,WL-0009,SE Wisc,Site Pair,16,370260,4719480,Terrace,Lake,Confluence
Lake Geneva,Walworth,WL-0038,SE Wisc,Isolate,16,382040,4716259,Terrace,Lake,Confluence
Lake Lawn,Walworth,WL-0005,SE Wisc,Site Pair,16,368870,4720187,Terrace,Lake,Lake
Spring Lawn,Walworth,WL-0018,SE Wisc,Isolate,16,366445,4715807,Terrace,Lake,Confluence
Whitewater,Walworth,WL-0082,Koshkonong,Isolate,16,355350,4743198,Upland,Creek,Headwaters
Aurora,Washington,WT-0003,Lizard Mound,,16,,,Ridge,Marsh,Marsh
Cedar Lake,Washington,WT-0034,Lizard Mound,Isolate,16,398728,4807527,Terrace,Lake,Lake
Glass,Washington,WT-0199,Lizard Mound,Lizard Mound,16,409706,4813000,Terrace,River,Valley
Hagner,Washington,WT-0001,Lizard Mound,Lizard Mound,16,407766,4812911,Terrace,Upland,Spring
Joedicke I/Joedicke II,Washington,WT-0038/57,Lizard Mound,Site Pair,16,407000,4807320,Terrace,River,Confluence
Pike Lake,Washington,WT-0019,Lizard Mound,Isolate,16,392555,4796417,Terrace,Lake,Lake
Squirrel,Washington,WT-0309,Lizard Mound,Lizard Mound,16,408809,4812575,Terrace,River,Valley
Susen Backhaus,Washington,WT-0207,Lizard Mound,Lizard Mound,16,408845,4813801,Terrace,River,Valley
WT-0040,Washington,WT-0040,Lizard Mound,Site Pair,16,406665,4806834,Terrace,River,Valley
WA-0010,"Washington, MN",WA-0010,Upper Miss,Isolate,15,517195,4971654,Terrace,River,Floodplain
Bark River,Waukesha,WK-0586,Waukesha,Bark-Fox Portage,16,390972,4773729,Terrace,River,Valley
Big Bend I,Waukesha,WK-0196,Waukesha,Big Bend,16,402083,4747417,Terrace,River,Confluence
Big Bend II,Waukesha,WK-0244,Waukesha,Big Bend,16,402383,4746508,Terrace,River,Spring
Bird Hill,Waukesha,WK-0221,Waukesha,Waukesha,16,400589,4762802,Hill Slope,Upland,Spring
Brock,Waukesha,WK-0208,Waukesha,Big Bend,16,394581,4746507,Terrace,River,Confluence
Carroll College,Waukesha,WK-0225,Waukesha,Waukesha,16,399980,4761788,Hill Slopes,River,Floodplain
Channel,Waukesha,WK-0119,Waukesha,Bark-Fox Portage,16,395283,4772721,Terrace,River,Valley
Clark,Waukesha,WK-0125,Waukesha,Bark-Fox Portage,16,397374,4769936,Hill Slopes,Lake,Confluence
Court House,Waukesha,WK-0216,Waukesha,Waukesha,16,399977,4762631,Terrace,River,Floodplain
